STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-06-27,0,0,0,74,41,58
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-06-28,0,0,0,78,43,57
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-06-29,0,0,0,79,48,52
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-06-30,0,0,0,84,50,56
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-07-01,0,0,0,82,52,60
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-07-02,0,0,0,86,42,55
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-07-03,0,0,0,88,46,52
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-07-04,0,0,0,90,50,54
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-07-05,0,0,0,90,52,58
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-07-06,0,0,0,91,54,60
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-07-07,0,0,0,89,56,60
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-07-08,0,0,0,86,54,62
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-07-09,0,0,0,88,52,60
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-07-10,0,0,0,80,50,58
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-07-11,0.4,0,0,76,44,50
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-07-12,0.05,0,0,74,50,52
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-07-13,0,0,0,78,45,50
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-07-14,0.06,0,0,74,46,52
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-07-15,0.01,0,0,80,46,54
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-07-16,0,0,0,82,48,54
